Username,Stars,Review Text,Review Date,Review Usefulness,Sentiment Label,Sentiment Score
Adam S. Walter,2.0 out of 5 stars,"No parents were consulted during the making or design of this device.Been playing with the glow today with my kids.  I feel like it is deceptive as it is just a light, I feel like when I preordered I was led to believe that it was an upgrade to the echo dot.  I was wrong.  It does not add anything in the way of a microphone or speaker.  You just paid $30 for a very simple light that supposedly interacts with your existing echo devices if you say enough words.  Eg you cannot just say “alexa, set rainbow timer for 30 minutes”. You have to address the light specifically “Alexa, set rainbow timer for 30 minutes on <insert device name here>“. Then you get a pretty light and a lot of wires because you have 2 devices plugged in rather than 1.I would rather pay $50 for a device that had a speaker and microphone with a smaller footprint.  I have plenty of smart bulbs and more than enough usb cables running around the house.It gets 2 stars for the rainbow timer feature which allows for my kids to have a visual of how much time is left.Sorry much like the echo auto this is a dud for me.Edit:  2 hours into having it around and a couple more notes:1. Amazon called me for further feedback which was nice. Kudos to support.2. This sucker does not want to be wet (has a warning) so my use case of putting it in the bathroom for a shower or toothbrush timer is a poor idea.  This also means it is a poor choice for a bedside lamp since kids tend to want a glass of water on their bedside.3. Having it in your kid’s bedroom means they need an echo in there.  Parents everywhere, evidently we were not consulted, evidently the developers are unaware of the major distraction an echo after hours can be.  That is mitigated by freetime but guess what is not usable except by touch now?  Echo glow.  And since I cant put it next to the bed...4. Current Use cases:Visual color clock:  there are better cheaper items out there. Onaroo for one.Remote light: Better cheaper solutions for smart homes.  Lifex, hue, etc.Finally I would like to point out that EVERY echo named device to date that I am aware of has a microphone at least.I cannot think of what to do with it so I will be putting it in the kids bathroom with the echo dot that is already there and see how long it lasts.  Maybe I will save some hot water with the rainbow timer.","Reviewed in the United States on November 20, 2019",985 people found this helpful,NEGATIVE,0.9960971474647522
Samie May,2.0 out of 5 stars,"UPDATE: I've had this for another 24 hours and I'm getting the feeling that this was barely tested before releasing it. As mentioned below, you can't turn the Glow off in tap mode unless you use voice commands or open the app. But you also can't use voice commands to set a timer for it. Last night I asked Alexa to turn off the Glow in one hour and it responded that it set a sleep timer. Four hours later, it's still on. I quietly had to tell the Alexa to turn it off now and it woke up the whole GD House with ""I DETECT YOU ARE WHISPERING DO YOU WANT TO...""How does Amazon release a devise without testing if you can turn it off?!But the cat still gives it 2 stars.ORIGINAL POST:  I know this is advertised for kids, but I bought it to replace a sun simulation alarm clock and to set up a bedtime routine.  My review is a little mixed because I was able to accomplish these goals (kind of), but the actual ""tap"" functionality is a bit annoying.  Overall I'm okay with the purchase.  There are some clunky aspects that I'm betting Amazon will iron out soon.The Good:1. I wanted a light that would gradually turn on in the morning, didn't have to be accompanied by an alarm sound, and could be scheduled for weekdays only.  I already returned 2 mid-priced sun simulation lights because they couldn't do this.  (Why is it so hard to find a sun simulator to do those three things?)  I received the Glow and after a few minutes of set-up, I set my first routine using my Alexa app.  It only took a few minutes to program it to do exactly what I wanted.  I could have used a default option to gradually turn the light up, but I went the more complex route of  adding multiple tasks so I could change colors at timed intervals.  I added tasks of light and tasks of ""wait"" to the routine and it all worked perfectly this morning.2. I was able to set a routine for the Glow to glow blue at night, but I wasn't able to attach it to my current routine of night-time music.  The Glow task does not have a timer feature, so you need to add a ""wait"" task, then add a task to turn off the Glow.  Unfortunately, there is a requirement that music is the last task in a routine...so unless I want music to turn on after the light turns off, it isn't helpful.  I just made a separate task for the night time light.  So I ask Alexa to ""Turn on night time light"" and ""Turn on night time music.""3. The cat discovered the tap feature and is really into it.4. The campfire mode is really cool.  I hope the nifty developers add a cool-tone option so the same effect can be in blues and purple.The Bad:1. It is very sensitive. I had it sitting on the table as I set up my routines and it was constantly changing colors just from the vibrations of the house.  (You can disable the tab feature.)2. You can't turn it off if you use the tap feature.  If you are playing with the color changing taps, it stays on until you go into your app to turn it off, or you give Alexa a voice command to turn it off.  There is a manual button to turn it completely off, but this disables any Alexa connection so routines do not run.You may think that you can hit the button, and then click the button back on, but then the light turns on and you are back to where you started...just wanting to turn the light off without waking people up with a voice command or digging out your phone.  You'd think that a double tap or a long tap would turn the light off...nope..just perpetual light.3. You have to give parental consent to use the light.  I get that Amazon is covering itself by making you virtually sign a consent, but do they have to send a weird email to everyone in the household so that I get a phone calls from my husband asking what I did.  What else is in that light that I need to sign away my rights and inform everyone else in my house that I signed them away?Overall Impressions:This was the same price as the sun simulators I replaced and it brilliantly accomplished that goal. There are some aspects that are still glitchy, but I'm sure Amazon will send out an update to respond to customer feedback.  Amazon is cool like that, and I'll update my review if any of these issues are updated.  If you are buying it for a kid, they will probably like the tap feature and talking to Alexa to get it to respond.  Go for it!","Reviewed in the United States on November 20, 2019",437 people found this helpful,NEGATIVE,0.9974091649055481
Michael,3.0 out of 5 stars,"First off, limiting this product marketing to kids is a bad call. I think you'll find there is a much broader audience for this product.Received mine and love the form factor, the light is very nice and bright. The features however cost this review two stars. I am always an early adopter of Alexa technology and I hope, like other products, this too will evolve. Current light settings don't really do much that a typical color smart bulb can't do already. I would very much like to see direct linking to Echo devices so that for alarms you can have a slow sunrise effect to ease your waking transition with an alarm set on your Echo Dot Clock. It would be great to interact more precisely with music playing through a linked device. Additionally I also hope you can also synchronize multiple Glows in future for great effects.So in summary, it's a nice product, I hope it gets better!","Reviewed in the United States on November 20, 2019",249 people found this helpful,POSITIVE,0.8701081275939941
Matthew Studney,4.0 out of 5 stars,"I bought this specifically as a wake up (rather - “you can come downstairs“) light for my kids. Meaning at 630 every day, I want the light to turn on to a specific color. A “Green means go” kinda thing.  I have a “dumb” device that does this but it’s a crappy cheap device and needs to be reset too often (power outages, day light savings, etc).To achieve this, I tried to set this up in the device on the echo app, with no luck....I figured it out later that had to set a time based routine.... per the attached picture which took me longer to figure out than it should have.Overall meets my needs and will play with it further.","Reviewed in the United States on November 20, 2019",238 people found this helpful,NEGATIVE,0.9996323585510254
Veronica44h,5.0 out of 5 stars,"My review this is a solid 5 out of 5 for what it is. I'm 29. I guess I'm not the target demo. This is a cute little light, I like the colors and I like the design. I did not expect anything outside of that. I like the modes, and the brightness setting. I didn't think that it came with the microphone and speakers. I didn't think that it had any other connectivity besides connecting to the app and letting me set different colors and such.1. Setup was easy for me. Connect to wifi, open the app follow instructions, boom it works. If setup was difficult for you then you maybe don't have your WiFi on or your maybe on the wrong network.2. I like that it has several different colors and modes. The campfire mode is cute but could use a little more work (as far as vividness) but for an unexpected mode, I really shouldn't complain.3. I haven't used the tap feature. It has a button on the back that can be used to turn the light on and off....I've just used that whenever I've wanted to physically turn it off. I mostly turn it on and off in the Alexa app as well as set brightness and other modes. I have turned the light on and off via voice command. ""Alexa, turn Veronica's light off/on."" Easy peasy lemon squeezy turns it on and off.4. I haven't used the timer feature. I didn't buy it for that. I bought it as a cute lamp that interacts with my Alexa app in an easy way. I don't really get the whole productivity light anyway. Is a rainbow timer really going to get anyone to do anything? I'd probably forget I even set it for that.I think if you were disappointed with this product, then you maybe had some incorrect expectations or weird setup issues.So far so good. I like it and plan on getting another one or two for my office. I reaaaalllly want a wall mount with cord wrap for this so I can stick it directly on some sockets.Edit: I have a two socket outlet where I have this plugged up. In one I have my Echo Show the other was free. Didn't want both taken up so I just plugged the cable into a double USB power socket. My cam, show and glow all work just fine with this setup. Not sure why people are saying this will take up extra outlet space. I'm starting to think people want to complain for the sake of complaining.","Reviewed in the United States on November 22, 2019",223 people found this helpful,POSITIVE,0.9977920055389404
Jon Almada,5.0 out of 5 stars,"I was one of the early purchasers of this light and had problems from the get go with it. First off, the Wifi was very touchy but I finally got past that by moving the light closer to the router and finally got it to connect. Secondly, Amazon's process for ""adult verification"" was not working correctly and caused me problems that ended up with me talking to my bank due to the problems Amazon had with the light. I wrote a pretty rough review and was going to return the light, but got a call back from Amazon and we managed to work out an agreement to have them look at what happened to me. I waited for some time for them to get back to me, but evidently we kept missing each other. I resolved to return the light in January, but tried again to get the light registered with Alexa and this time, everything worked. I use mine in my kitchen to save on power for the overhead lights and it is a great little bit of kit. I change the lighting now and again and think it is a pretty awesome little light for what it is.I want to thank Amazon's staff and want to make some suggestions with this light.First off: Adults will be buying this light. Not children. We don't need a nanny-state permission slip to use a light we as adults bought. So my advice to Amazon is to lose the ""kids light"" feature and make it for everyone.Secondly, I love the ""Mode"" feature to let you do different presets, but I'd like to see Halloween, Easter, Fall, Spring, Summer and Winter lighting modes along with some kind of color wheel so we can mix and match colors to create lighting similar to the animations like you get with the ""Campfire"" effect. It would be a nice little add to the Alexa app to control these features and steer more people to this great little light.Third: I'd love to see a family of these evolve from here. I like fiber optic lights and think adding something like this to Alexa control would be really cool to see offered.The Wifi issues seem to be resolved now and I've had a new router installed and it wasn't too tough to reprogram the light to use the new router.In conclusion, it has been a learning experience. I initially was not impressed, but have grown to like this little light. I hope that others don't have to content with the issues I ran into and that Amazon's product development folks listen to the feedback on this. All in all, a great little light and I'm happy with how Amazon actually CALLED ME and listened when I had troubles and then fixed the issues.So would I get it again? I just ordered my second one of these lights to use in another room and hope Amazon realizes more adults will be using these than kids. Yes... even we adults like cool gadgets like this!","Reviewed in the United States on November 21, 2019",120 people found this helpful,NEGATIVE,0.9983906745910645
Tundrok,1.0 out of 5 stars,"So many issues. First, the QR code scan for setup failed with error message and manual setup didn't work. I noticed my phone wifi was off so started all over. QR setup failed and manual setup never found the device. I unplugged and plugged back in and manual setup worked.Next, the primer screen goes on to tell me that I must give parental consent even if there are no children in my household. (I have no children) Then a browser view pops up to show a webpage that asks me to agree to sharing all my personal profiles' info with Amazon and the page is pinch to zoom which caused an issue in that I accidentally caused it to zoom in a lot.During the end of setup I got an app notification saying ""Echo Glow isn't quite ready yet"" and to go to the Alexa app to complete setup... while I'm in the Alexa app setting it up... and the notification is FROM the app!! Even after completing setup the notification is there.The size of the device was smaller than I expected but that's not a huge deal. The brightness leaves a lot to be desired. The setup showed no details on how to turn it on and off but I found out it's the button on the back. It's extremely awkward to press the button without activating the touch sensitive function that changes the color. Turning it on and off by the physical button leads to inconsistency on the color and brightness you get when it comes back on. Not sure why I can't use touch to turn the device on and off","Reviewed in the United States on November 20, 2019",80 people found this helpful,NEGATIVE,0.9996160268783569
releppes,4.0 out of 5 stars,"This is a great little nightlight. Expensive for a nightlight, but lots of nice little features. Works great with an Alexa smart home.Setting up was no more difficult  than other smart products. Which is to say it was a pain in the butt. It never works first time. Ever. After several attempts I was able to get the light to communicate. After setup, it worked better. But then stopped communicating several hours later. Unplugging and plugging back in the light fixed it.Using the light is a breeze. Very responsive and intuitive to basic commands. Alexa makes this super easy.One complaint is the colors seem off. White, purple, red, and green all look okay.  But yellow, gold, pink, and orange look sickly. Orange especially. Doesn't even look close to orange. Honestly, the best color is plain white. I can't fault Amazon to much on the colors. I have a similar night light and have the exact same complaint. I really wish there was a nice Amber color. If a color wheel option was available, one could compensate for the lack of course matching, but sadly the Amazon light doesn't have this. Very disappointing in those regards.One thing I loved about this light are the mood settings. That feature alone is worth the extra $10 (compared to similar products). The campfire and mood modes look great. I wish there were more settings to choose from. Hopefully Amazon can release an update that gives more options.The Amazon quality is evident in this product and I loved that. It doesn't have a battery backup, which is unfortunate. However it has a nice weight and won't roll around. It's smaller than expected, but I liked that. It's about the same size as the Echo Spot.Overall it's a great light. It's a little expensive for the minimal color settings available, but the quality is nice.","Reviewed in the United States on November 21, 2019",65 people found this helpful,POSITIVE,0.9786331057548523
SbabyH,5.0 out of 5 stars,"UPDATE: I have had these in my house for a while now and I'm up to three of them. I love them but to use them as a natural sunrise, you have a lot of work ahead of you. I did a lot of annoying investigation and if you increase the brightness 100% over 20 minutes what happens is from 0 minute to 5 minute it stays at 0 brightness, then at 5 minute it jumps to 25 brightness. Then for minute 5 to minute 10 it stays at 25 the jumps to 50 brightness. Then from minute 10 to minute 15 stays at 50 brightness then jumps 75 brightness. Then at minute 20 it goes to 100% brightness. So it's super annoying but to create the natural sunrise. How I achieve this was by, I put in a 2% brightness then a wait for 2 minutes then a 4% brightness and then I'll wait for 2 minutes, and then I continue on. For me 30% brightness is a good wake up light, so I have it pause there for about 20 minutes before I have it finish out to 100% and then reset to 1% and turn off. I included screen shots so you can see. But once you get it set up correctly it is awesome!!So I bought this for my daughter as a gradual light wake up clock. This takes, in my opinion, some finesse to get it set up right. I included a screenshot of everything I figured out. We also use the light as a ""green means go"", when she is allowed out of bed if she wakes up but before the light. So it is set at a daily time of 6:45 it turns on green at 50% brightness for half hour and then turns off. So in your routines, you choose your light to turn on whatever color and brightness then you add a wait function for 30 minutes and then you add an off function.So if anyone wants to use it as a natural sunrise there are a couple steps I would recommend. The first step is to turn the light on at a 1% brightness, I would love to use a color but they nearly don't get bright enough at a full 100% to make it actually wake you up, so I used white. Then I put in a wait for 1 minute. Then you do the brightness with the increase, you want to set it to 100% so that it goes from 1% to 100%, I did the duration for half hour, that's your decision. Then I had a wait for 1 minute for when the gradual increase with over. since I wanted it to stay on at 100% for 30 minutes, so it was an on, with brightness at 100%, then another wait for 30 minutes. Then I had it turn off.I love the ability that this is voice activated. Since my daughter's schedule is different every day, once I'm up and I know she needs to be up within a half hour I can turn this on from any of the echoes in my home.Long-term, no idea how this will be. For now and the price it's a pretty good deal","Reviewed in the United States on November 26, 2019",41 people found this helpful,POSITIVE,0.9964062571525574
Eric,1.0 out of 5 stars,"I am very loyal to Amazon.  At last count we have 10-15 Amazon devices in our house.  My wife pre-ordered one of the very first Echos years ago.  We have dots, shows, firesticks, kindles, etc.  So needless to say my kids were very excited when I ordered this.  We received it on November 20, 2019 which I believe was the first day they were available.  My first impression was . . .Meh.  But, I figured it was brand new and they would send out firmware upgrades to give it more usability.  NOPE. . .  Whatever. . .my kids still enjoyed making it change colors.Fast Forward to April 2020.  I upgraded my wifi router which meant that I had to reconnect all my devices.  All my echo devices handled the router change like champs. . . That is except this one.  I may not be an expert, but I am no technical slouch.  So, I contact Amazon technical support and spent two hours on a chat with them going through all the steps to reconnect it.  First they said there was an issue with my Alexa app.  So, uninstalled and reinstalled it. No dice.  They had me do, I don't know how many resets of the glow which did nothing.  We removed it from my devices. . . At one point, it was constantly blinking green and blue, but the tech had no idea what that meant.After about two hours of going through all this, it was finally determined that there is a problem with the device.  Fine. . . send me a replacement.  NO CAN DO.  The warranty already expired. SERIOUSLY?  Yep. . .While all other Echo devices have a one year warranty, for some reason this only has a 90 day warranty.  It's almost as if  they knew that it was a piece of junk.  I even pulled the, ""I've been loyal to Amazon since 1998 and have been loyal to Amazon devices"" card.  Yeah, I know, not the classiest move.  But, apparently there is nothing that they can do.  Honestly, it is truly disappointing.  Not so much because I'm out the money, but because Amazon won't stand behind their product. . . Oh well.  Live and learn.  But I would definitely not recommend this product.","Reviewed in the United States on April 20, 2020",26 people found this helpful,NEGATIVE,0.9896125197410583
